"id","name","price","status","url"
69,"2017云考点会计从业资格证考试初级会计考试题库电算化软件视频","498.00","4笔","//detail.tmall.com/item.htm?id=536012421804&skuId=3199076036142&user_id=2809068705&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
70,"2017年证券/基金/期货银行从业资格考试题库证真题课件视频","9.80","272笔","//detail.tmall.com/item.htm?id=521663766586&skuId=3260789061441&user_id=2530631316&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
71,"中星睿典2017职称计算机考试模块word/xp/Excel/ppt真题库初中高","19.00","16笔","//detail.tmall.com/item.htm?id=527138552375&skuId=4611686545565940279&user_id=2629319858&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
72,"中大网校学习卡2017注册计量师资格考试视频课程题库通关精讲课件","440.00","2笔","//detail.tmall.com/item.htm?id=38183419907&skuId=3265130564061&user_id=2021423740&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
73,"2017文都网校主治医师口腔医学中级职称考试用书视频课件题库宝典","552.00","8笔","//detail.tmall.com/item.htm?id=543486061339&skuId=3434711018192&user_id=2904318325&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
74,"临床内科学中级职称考试题库2017主治医师历年真题模拟试卷军医版","24.00","189笔","//detail.tmall.com/item.htm?id=539950674050&skuId=4611686558378061954&user_id=2780083151&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
75,"2017主治医师超声波医学中级职称考试题库历年真题库考前预测习题","24.00","155笔","//detail.tmall.com/item.htm?id=528834965548&skuId=4611686547262353452&user_id=2629319858&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
76,"2017年证券分析师胜任能力考试题库软件银行最新投资历年真题押题","10.00","3笔","//detail.tmall.com/item.htm?id=537238226011&skuId=3207660354865&user_id=2641637308&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
77,"940教育2017全国职称计算机应用能力模块题库考试软件真题包通过","6.00","95笔","//detail.tmall.com/item.htm?id=530880406168&skuId=4611686549307794072&user_id=2770818751&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
78,"2017公安机关人民警察(中级)执法资格等级考试易考宝典/模拟题库","168.00","2笔","//detail.tmall.com/item.htm?id=532542419758&skuId=4611686550969807662&user_id=2757800133&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
79,"2017会计证会计从业资格考试教程送从业考试题库课程讲义智造未来","169.00","46笔","//detail.tmall.com/item.htm?id=522637568165&skuId=3407407931670&user_id=2658407666&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
80,"2017年教师招聘考试 高等教育综合基础知识 软件题库 过关必做","168.00","0笔","//detail.tmall.com/item.htm?id=527985443735&skuId=4611686546412831639&user_id=2757800133&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
81,"中华会计网校学习卡2017年中级会计职称考试视频课件网课教程题库","360.00","4511笔","//detail.tmall.com/item.htm?id=541990903994&skuId=3255841768809&user_id=3031847752&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
82,"中华会计网校学习卡2017中级会计职称考试视频网课题库 正版课件","600.00","1345笔","//detail.tmall.com/item.htm?id=541991127490&skuId=3419749670263&user_id=3031847752&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
83,"医学教育网学习卡2017年乡村全科执业助理医师视频课件课程题库","612.00","131笔","//detail.tmall.com/item.htm?id=537491287046&skuId=3216650110422&user_id=909237366&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
